# x_m, y_m, w_tr_right_m, w_tr_left_m
# levine centerline (one frame for every levine map), 499 points, 61.78 m, counter-clockwise; finish line = first point. Source: lev_blocked_source.csv; widths measured from the map by autograder/labs/lab3/make_centerline.py
-13.2279, 0.1923, 1.7750, 0.5500
-13.1545, 0.1274, 1.5500, 0.6500
-13.0749, 0.0684, 1.4000, 0.6750
-12.9896, 0.0150, 1.2750, 0.7250
-12.8989, -0.0332, 1.1750, 0.7500
-12.8033, -0.0764, 1.1000, 0.7750
-12.7030, -0.1151, 1.0250, 0.8000
-12.5987, -0.1496, 0.9750, 0.8250
-12.4906, -0.1802, 0.8750, 0.8500
-12.3792, -0.2073, 0.8500, 0.8750
-12.2648, -0.2312, 0.8250, 0.8750
-12.1480, -0.2522, 0.8000, 0.9000
-12.0290, -0.2708, 0.7750, 0.9250
-11.9084, -0.2872, 0.7500, 0.9250
-11.7864, -0.3018, 0.7500, 0.9500
-11.6635, -0.3149, 0.7250, 0.9500
-11.5401, -0.3268, 0.7250, 0.9750
-11.4160, -0.3375, 0.7000, 0.9750
-11.2913, -0.3470, 0.7000, 0.9750
-11.1662, -0.3554, 0.6750, 1.0000
-11.0405, -0.3627, 0.6750, 1.0000
-10.9144, -0.3690, 0.6750, 1.0000
-10.7878, -0.3743, 0.6750, 1.0250
-10.6607, -0.3787, 0.6500, 1.0250
-10.5333, -0.3822, 0.6500, 1.0250
-10.4055, -0.3848, 0.6500, 1.0250
-10.2774, -0.3866, 0.6500, 1.0250
-10.1490, -0.3875, 0.6500, 1.0250
-10.0203, -0.3878, 0.6500, 1.0250
-9.8914, -0.3873, 0.6500, 1.0250
-9.7622, -0.3862, 0.6500, 1.0250
-9.6329, -0.3845, 0.6500, 1.0250
-9.5033, -0.3822, 0.6500, 1.0250
-9.3737, -0.3794, 0.6500, 1.0250
-9.2439, -0.3761, 0.6500, 1.0250
-9.1140, -0.3723, 0.6750, 1.0000
-8.9841, -0.3681, 0.6750, 1.0000
-8.8542, -0.3635, 0.6750, 1.0000
-8.7243, -0.3586, 0.6750, 1.0000
-8.5944, -0.3535, 0.6750, 1.0000
-8.4645, -0.3481, 0.7000, 0.9750
-8.3348, -0.3424, 0.7000, 0.9750
-8.2052, -0.3366, 0.7000, 0.9750
-8.0757, -0.3307, 0.7000, 0.9750
-7.9464, -0.3247, 0.7250, 0.9750
-7.8173, -0.3187, 0.7250, 0.9500
-7.6884, -0.3127, 0.7250, 0.9500
-7.5598, -0.3067, 0.7250, 0.9500
-7.4314, -0.3008, 0.7500, 0.9500
-7.3033, -0.2949, 0.7500, 0.9250
-7.1754, -0.2890, 0.7500, 0.9250
-7.0478, -0.2832, 0.7500, 0.9250
-6.9203, -0.2774, 0.7500, 0.9250
-6.7931, -0.2717, 0.7750, 0.9000
-6.6662, -0.2661, 0.7750, 0.9000
-6.5394, -0.2605, 0.7750, 0.9000
-6.4128, -0.2549, 0.7750, 0.9000
-6.2865, -0.2494, 0.8000, 0.9000
-6.1603, -0.2440, 0.8000, 0.8750
-6.0343, -0.2386, 0.8000, 0.8750
-5.9085, -0.2333, 0.8000, 0.8750
-5.7829, -0.2280, 0.8000, 0.8750
-5.6574, -0.2228, 0.8250, 0.8500
-5.5321, -0.2177, 0.8250, 0.8500
-5.4070, -0.2126, 0.8250, 0.8500
-5.2820, -0.2076, 0.8250, 0.8500
-5.1572, -0.2026, 0.8250, 0.8500
-5.0325, -0.1977, 0.8500, 0.8250
-4.9079, -0.1929, 0.8500, 0.8250
-4.7835, -0.1882, 0.8500, 0.8250
-4.6592, -0.1835, 0.8500, 0.8250
-4.5350, -0.1789, 0.8500, 0.8250
-4.4109, -0.1743, 0.8750, 0.8000
-4.2869, -0.1699, 0.8750, 0.8000
-4.1631, -0.1655, 0.8750, 0.8000
-4.0393, -0.1612, 0.8750, 0.8000
-3.9156, -0.1569, 0.8750, 0.8000
-3.7920, -0.1528, 0.8750, 0.8000
-3.6685, -0.1487, 0.9000, 0.7750
-3.5450, -0.1447, 0.9000, 0.7750
-3.4216, -0.1408, 0.9000, 0.7750
-3.2983, -0.1369, 0.9000, 0.7750
-3.1750, -0.1332, 0.9000, 0.7750
-3.0518, -0.1295, 0.9000, 0.7750
-2.9286, -0.1260, 0.9000, 0.7750
-2.8054, -0.1225, 0.9250, 0.7500
-2.6823, -0.1191, 0.9250, 0.7500
-2.5592, -0.1158, 0.9250, 0.7500
-2.4361, -0.1125, 0.9250, 0.7500
-2.3130, -0.1094, 0.9250, 0.7500
-2.1899, -0.1064, 0.9250, 0.7500
-2.0669, -0.1034, 0.9250, 0.7500
-1.9438, -0.1006, 0.9250, 0.7500
-1.8207, -0.0978, 0.9500, 0.7250
-1.6976, -0.0952, 0.9500, 0.7250
-1.5745, -0.0927, 0.9500, 0.7250
-1.4513, -0.0902, 0.9500, 0.7250
-1.3281, -0.0879, 0.9500, 0.7250
-1.2049, -0.0856, 0.9500, 0.7250
-1.0816, -0.0835, 0.9500, 0.7250
-0.9583, -0.0814, 0.9500, 0.7250
-0.8349, -0.0795, 0.9500, 0.7250
-0.7114, -0.0777, 0.9500, 0.7250
-0.5879, -0.0760, 0.9500, 0.7250
-0.4643, -0.0744, 0.9750, 0.7000
-0.3406, -0.0729, 0.9750, 0.7000
-0.2168, -0.0715, 0.9750, 0.7000
-0.0930, -0.0702, 0.9750, 0.7000
